"Name","Rating","Rating Deviation","Volatility"
"Gryphondoor",1444.83929143,562.392656637,0.059999956024
"soulhellsing",1692.15493721,864.46557132,0.0599974147893
"shmoe",1250.3352135,1142.38738594,0.0599990959423
"Meowvalent",1459.78611981,748.97370832,0.0599959872937
"READY 4 BATTLE",1430.2648205,508.894149315,0.0599942757463
"dalius",1346.82853371,973.649624041,0.0599978357145
"hellsing6.1",1810.84948992,852.716914654,0.0599988048173
"b15.2tilt",1284.68482797,888.541292272,0.0599983337222
"sloppiejoe",1479.82966234,819.456068452,0.0599996493694
"createdc",1454.60729415,919.552790852,0.059998507787
"Dreamcoat",1361.37992177,276.012837825,0.0599989993286
"mozzarella",1370.32477802,1018.89507229,0.0599993269889
"Snowman",1360.29827384,622.289681534,0.0599946829255
"kudos",1469.99078258,918.235839297,0.0600037576048
"shnizalwizal",1488.50603868,780.525579006,0.0599925543123
"HRsalt",1152.06657379,362.207722914,0.0599943355639
"Ginger",2578.85573166,181.271623254,0.0600035373573
"luigi master tae",1830.52849538,477.038642089,0.0599958075303
"zbet",2032.79245097,348.832265424,0.0599937563631
"dre",2459.77876299,768.434186231,0.0599942044824
"ricechrispy",1849.1004253,894.203267747,0.0599933712133
"Jet",1407.01784549,383.967232118,0.0599977096801
"spooky",1815.71719058,949.051455784,0.0599929588681
"yor742",1443.62909113,455.662806696,0.0599980104116
"mascolino",1332.22675035,1017.29194285,0.0599998807615
"CTL",1932.9483966,727.748704616,0.0599962006962
"padawan",1183.67036494,1018.18311245,0.0600001092401
"PeachU",1310.68171771,549.801271322,0.0599949565414
"brd",1283.60103048,1081.83982675,0.0599981345067
"datrooph",1510.00087145,827.018356147,0.0599988334224
"juggleironguy",2085.88509729,966.65808371,0.0600007296609
"Nexic",2081.71207139,232.857090972,0.059981235721
"varisia",1581.00623835,996.92196956,0.0599972646325
"Moment",853.430087815,443.977425848,0.0599982085223
"tm",2202.48733827,188.534251651,0.0599783666525
"knoll",1314.46926931,470.648551317,0.0599984722551
"pangwell",1566.17598549,727.578974953,0.0599937262696
"Suidt",1628.86267937,765.02025607,0.0599975384154
"liam'simpoundedcar",1931.15561868,1006.40310257,0.0600004146966
"a4.1mb-smash",1848.18943053,870.208984861,0.0599972207795
"stitchface",2043.83920814,821.212488686,0.0599992911955
"ProNotes",1424.49896452,557.151174945,0.0599979759608
"karils",1443.3443835,837.916141772,0.0599603243171
"eggsinthebasketbananahammock",1327.34625914,873.800194673,0.0599977901957
"Agouti",1236.09922498,406.510955665,0.0599997715863
"sucrose",1505.90677487,826.414013961,0.0600001452614
"milknapkin",1324.67307151,889.809593623,0.059998839571
"a5.1ryejew",1744.14875784,883.595407907,0.0599984127588
"moose1.1",1829.62665098,847.999431498,0.0599991223912
"brazmonkey",1940.96135147,1057.46591912,0.059991722628
"Quang",2624.21610925,254.134671101,0.0599889763776
"Wizard",1618.66808482,764.851607897,0.0599958359002
"a10.1russell",1282.77581091,900.401381626,0.0599986031439
"hellsingtm",1915.08295611,870.792858703,0.0599966202181
"Chauncey",1758.04946374,727.346513339,0.0599992217781
"veggies",1283.14689988,817.750401247,0.0600006307056
"dVa d.",1160.14818063,585.536757433,0.0599953322881
"hildywok",1308.54550026,863.007981962,0.0599982867082
"notlain",1687.96280641,1006.83483414,0.0599973466736
"r1ch",1336.09407276,1019.53478143,0.0599993574246
"mr.stealyogurl",1436.44489036,935.97500114,0.0599992927826
"Jack",1350.86149208,413.413909446,0.0599946630819
"absynthe",1516.05530791,339.407328861,0.0599964677043
"Grimsey",1163.36676603,764.709375872,0.0599954599149
"beach",2561.9147439,827.634194369,0.0599475475763
"twich.tv/mars_smash",1735.96259072,952.755596902,0.0599964279612
"delovely",1459.17588974,1055.54247608,0.0600011674612
"lan",1421.6370606,1061.64469323,0.0599976642562
"mufasa",931.840875228,829.394925295,0.0599817951944
"Baejke",1129.90643164,463.144854279,0.0599966805945
"worldmat",1200.12577915,986.939807268,0.0600013407827
"Will",1989.14436027,307.497309133,0.0600097872644
"L7",1791.89431132,608.456907136,0.0599933585734
"noticemejuggle-senpai",1456.88938238,996.430682852,0.0599977604022
"starlight",1666.72363859,1075.5846175,0.0599971082511
"calves",1684.30671267,788.12846563,0.059996180373
"m8land",2041.64314835,597.283999994,0.059992506184
"green",1244.10041421,934.929230152,0.0599992234575
"jakpox",1865.6714579,377.159252951,0.0599807372269
"amir",1455.0993647,801.595273283,0.0599752985014
"Ikkitrix",1516.14178712,358.683118108,0.0599993718732
"greenwing147",1292.75476933,1113.74827726,0.0599996774046
"plasma193",1706.32527868,930.243927423,0.0599995574751
"tiltcam",1541.19532148,881.308545778,0.0599983167372
"zev",1126.63779486,937.560212475,0.059998063938
"oven",1605.60705071,852.899213376,0.0599811366613
"thesucc",1575.57557151,909.375992106,0.0599982601909
"5heep",1563.0062906,848.757319306,0.0599976435037
"mr.paddock",1358.60795218,938.289844948,0.0599978514433
"luigimastertae5.1",1578.10315779,852.595930479,0.0599981027546
"Drew",1660.52938442,378.257210411,0.0599993674642
"s4p",1370.32477802,1018.84175927,0.0599993269889
"b3.2coupkey",1252.47960224,888.640802505,0.0599990936928
"valor",1590.61235516,1034.37591797,0.0599976499522
"U OK?",632.547302958,284.801306304,0.059994588187
"sayac",2023.2238967,787.001535341,0.0600084511626
"antseverest",1735.21175835,840.653143094,0.0599983219189
"agouti",1516.37899574,1028.20802228,0.0599985588105
"sailordeer",1111.07260093,979.838244595,0.0599976559345
"supertramp",1622.29473183,1003.16578741,0.0599992810128
"Ders",1893.09285504,733.868334086,0.0599972433424
"lucy",1794.44205861,886.08886504,0.06000361076
"ProfessorPlasma",1514.97801472,726.83584582,0.0599968682519
"sklopp",1388.03674922,816.694147201,0.0599999539896
"helpme",1533.95125872,1091.18913797,0.0599977549285
"Armada",1805.70567982,418.368804373,0.0600357144886
"fija",1655.39397645,1026.54649455,0.0600011243728
"strooper",1218.75705043,811.240922518,0.0599954106026
"cornbread",1496.72761006,947.747690747,0.059996701972
"Dashing Jesus",1286.93404878,491.891399839,0.0599986423833
"deepfox7.2",1237.02797003,868.914313658,0.0599994271195
"Krampusklaus",1701.60569842,257.991667071,0.0599979378013
"fllrussell",1973.90004046,825.2393809,0.0600017348084
"b13.1ju4n",1824.08409831,882.684976035,0.0599965784691
"Hollywood",1829.23984505,328.043162627,0.0599987200871
"+c",1309.49473112,961.962714402,0.0599992211605
"burlap",1877.56723528,1088.71805475,0.0599999167128
"notkain",1496.14581911,833.699425446,0.0600067698368
"peachorsheik",1965.93565515,789.832869011,0.0600017788041
"gumcriphood",1536.89490329,866.151847592,0.0599994115151
"dsp",1545.9641673,847.812735544,0.0599982031326
"Zeit",1301.18705837,477.56713102,0.0599985046602
"Rabbit",1865.70813489,213.819995991,0.0600030510114
"lain",2316.37036151,305.596509587,0.0599761997878
"facebookdominic",1611.86794599,790.640489752,0.0599992192347
"tangitrellllama",1276.59377855,865.407972301,0.0599991870396
"sheep",1798.81612584,897.177641495,0.0599313426188
"morsecode762",2209.24695277,936.363834035,0.0599970297043
"AFB",1188.63125808,772.491406183,0.0599959564021
"b3.1beach",1705.53278058,877.256829749,0.0600000842519
"topherb",1532.7551675,977.598562117,0.0599969216457
"Egg",1991.68711943,298.384917653,0.0599773943447
"248",1800.26136969,279.76316866,0.0599695724166
"greasy",1447.50690059,906.280463827,0.0599883932159
"zaps",1422.84777954,1094.6931426,0.0599967092059
"zinoto",2282.02314179,890.095464897,0.0600069930695
"BTP",1664.08943486,359.16584583,0.0599986292159
"Regralht",1136.84382802,301.92988113,0.0600008112705
"Char",834.537743271,534.609198312,0.0599959677505
"a14.1treetz",1490.64810537,898.448293986,0.0599982951789
"Dissaplin",1206.27062814,711.63865328,0.0599956997764
"majinjoe",1302.67145847,986.00642216,0.0599989048742
"Curl",1408.18501212,552.568783655,0.0600027201041
"Duo",1253.21980109,208.810637999,0.0599879926357
"danchan",1613.83246599,1002.86748757,0.0599973453336
"will",1877.34056591,800.026377984,0.0599799988381
"a10.2fendricklamar",1608.93992757,878.464443869,0.0599977757897
"juggleguy",2653.56073613,762.294642156,0.0599753396529
"lenpo",1233.94034777,1111.17363452,0.0599991460388
"mojo",1883.14554164,823.721494487,0.0599968547717
"mrtoad",1455.22883701,1016.35918451,0.0599992502716
"legalizeweednotwobbles",1710.74059738,962.903176885,0.0599964003042
"service",1465.1448931,924.87301352,0.0599968199116
"dogg",1139.98229389,1126.98274578,0.0599977970235
"WenDe",1602.76721704,361.649745817,0.0599978241058
"NeXi",931.824406299,540.345789462,0.0600025983042
"patrickcarney",1324.69623643,841.840713072,0.0599999577237
"tangy",1545.15921435,907.510604242,0.059999792089
"john",1092.82633259,1016.6557089,0.059992614805
"jambo",1409.42952552,932.800616351,0.0599998067746
"Bushels",1211.00869486,503.36057334,0.059989805574
"i4n",2204.72065536,201.231992867,0.0600230200059
"KJH",2577.88169098,212.981149655,0.060001984357
"bigbrotherabsynthe",1430.31654295,868.463601724,0.0599970078182
"wasted",1618.02431926,1028.26888842,0.0600003440648
"gambler",1618.36053261,801.633866252,0.0599999899852
"frojo",1312.14593558,815.740619577,0.0599965251998
"duothegod",1675.78662716,1110.51582004,0.0599981590152
"ju4n13.1",1732.53821738,845.331279363,0.059996846108
"lainblake",1427.39209307,869.334876992,0.0599967793027
"Seraph",1964.30155796,411.028417834,0.0599958154612
"iron",1953.29284784,787.983317415,0.0599493126408
"BigJoe",1490.76006706,260.013866452,0.0599893396103
"cornlsomj6.2",1283.29130153,868.232487806,0.059998336699
"Invader Slim",1365.39562688,382.206297535,0.0599913559753
"Gr0g",1138.5555007,753.128047863,0.0599952759539
"ginger",2578.99362603,774.448252888,0.0599672035411
"antlaserpants",1363.46087229,890.18231204,0.0599973154355
"beckett",1158.93355442,1033.86470498,0.0599727735254
"Swedish Delight",2354.79083945,412.680371171,0.0600087698705
"Christian",1470.76033081,441.528155535,0.0600050209097
"goonsquad",1950.43547407,778.160146431,0.0599608483706
"omarrifia",1722.2554617,972.038367187,0.059998005913
"yungbitch",1232.69741194,1030.01262566,0.0599839678945
"trialcolt",1406.09175019,1052.90250521,0.0599929065771
"barrymanilowthekushjesus",1322.39307834,848.497674845,0.0599982433551
"uok?",1419.74626117,1096.14235309,0.0599974207612
"Modus",1546.6474372,372.932892427,0.0599974953307
"a3.2rawrmonster",1386.71208913,895.115214383,0.0599996010363
"a14.2rasto",1437.15169336,894.887458004,0.0599977854575
"Knight",572.412486381,458.923366272,0.0599944176221
"Lucy",1795.35518744,699.28339909,0.0599981072618
"Biff$$$$",1723.10883732,520.688089645,0.0600012812405
"boostedsix",1373.81038635,855.747637746,0.0599990135426
"jepr",1153.03408512,1050.38921312,0.0599904725573
"Zodiac",1562.08927581,620.837877404,0.0599922735664
"coin",1778.50399428,1036.14869725,0.0599700438234
"fuxy",1383.35807976,1019.73400808,0.059999192031
"mushu",1304.78637862,1142.49736912,0.059998114026
"dom",1532.41123188,1010.20905619,0.0599983581236
"stayclosa",1503.08515275,972.457618964,0.059994725384
"Kissy",1454.0076469,506.316944272,0.0600000091541
"Dynamic",1231.01803579,266.253148105,0.0599927264245
"dog",1595.90052408,1116.51923768,0.0599960035874
"TARD",1397.98439141,360.487343906,0.0599984478077
"willnexic",1430.80997096,852.227937556,0.0599999549906
"wildcard",1163.68250311,1066.59921293,0.0599930514661
"nkdk",1223.39176614,1080.84135015,0.0599955478504
"cagnar",1043.81170525,1054.99122681,0.0599955124601
"1DR?",1506.79972509,536.806774765,0.0599993218316
"dover",1712.21405017,1000.51404158,0.0600002201925
"napkinidentitycrisis",1869.38324099,858.143807126,0.0599963504631
"Ceephax",2050.86884802,376.566638285,0.0599932779874
"Bumpadump",1375.38550133,326.1754826,0.0599980694793
"mules",1988.81548812,771.789771688,0.0599922470108
"pops",1852.48845353,1043.7196337,0.0599995352046
"dizzkidboogie",2626.08918889,1038.90924176,0.0600096393085
"Tetsu",1441.99146398,298.517464122,0.0600001486097
"toast",1761.09998738,891.091539425,0.0599948895709
"jfgameboy",1332.22513385,655.216084619,0.0599921653497
"HighDef",765.898705344,317.190823714,0.0599934076389
"Tubby",1396.05994806,271.639074379,0.0600038634464
"theoak",2284.47628983,779.393378923,0.0600007720349
"invaderslim",1461.77182733,1095.82778197,0.0599941701068
"haze",1308.57363428,1022.10752883,0.0599976089824
"letsgomiles!",1591.21485993,984.155148578,0.0600067200884
"Jamrun",2242.00343537,403.987332742,0.0600079928342
"b2.2zashi",1515.26165217,902.058123271,0.0599990947738
"a3.1tm",1796.68638283,867.117122758,0.0599970918927
"rich",1314.33194144,840.509441678,0.0599611753701
"Snitch",1340.69135757,482.603163942,0.0599985572282
"cooljoe",1296.81696755,1018.87538431,0.0599992687523
"pyromaniaccident",1294.19189656,812.063601894,0.0600035654706
"Liam_Butler",2160.02245824,442.592794165,0.059987573942
"Necro Joe",1574.65643368,720.664932016,0.0599919735092
"abu",2066.50717705,837.423727759,0.0600032493152
"jermaine",1745.93755213,906.937135426,0.0599897178826
"haunter",1479.99000146,820.145806941,0.0599996506271
"somjspooky",1509.56015757,846.578791377,0.0599968166229
"dd",1620.34712615,988.56947681,0.0599993717394
"Captain Kush",1539.46470316,344.905070252,0.0599955184711
"helpmeh",1162.46848265,1028.77171079,0.0599986581652
"opiatre",1617.44242061,551.992736989,0.0599980444961
"deathpie",1131.59771689,734.901880636,0.059995081837
"Neth",1382.79126553,586.427362238,0.0599983291146
"data_expunged",1279.25841011,1100.30226596,0.0599986219228
"Walleye",1328.42425192,414.283750504,0.0599981521139
"jhaps1217",1586.40238333,556.371087659,0.0599930173762
"supermegawalruscoupkey",1463.25330727,854.022302424,0.0599972973893
"Oven",1678.47500005,284.811658843,0.0599697721915
"a13.1zinoto",1782.09987758,887.504878976,0.059998313046
"btp",1417.20979292,1046.6085075,0.0599955256799
"Jamboni",1468.52056338,735.423037228,0.0599953007498
"Metacopolys",1168.98705341,741.548167836,0.0599954955581
"absynth",1345.42817729,1030.18942001,0.0600034147321
"linkxiii",1392.1809789,1020.58537033,0.0599991648255
"generalheinz",1842.87631916,864.608999943,0.0600021743031
"Wolff",1319.85140005,497.116897929,0.0599984208622
"hammer",1641.65591183,955.078000153,0.0599998999342
"bdrisc",1463.84858584,802.296694785,0.0599953160602
"gdin",1489.54388658,1088.81033241,0.0600006107173
"speedruns",1509.2820584,764.595899911,0.0599968513347
"TILT",1794.08368794,655.454896171,0.0599901819644
"Lange",1986.37313664,264.264690212,0.0599824330974
"Rug",1259.5779337,543.714942704,0.0599988122175
"I3njamin",1260.06182812,729.13211989,0.0599973201314
"xtrooper",1987.85418613,806.124718106,0.0599915570176
"onissersaint",1314.62643937,879.324065424,0.0599982101016
"nambu",1119.31054742,1110.94398488,0.0599981695109
"confusion",976.011760836,408.374196432,0.0599935752248
"Zetts",2400.4154125,262.879190663,0.0599983668967
"Tree",1300.73254394,388.990345423,0.0600038686941
"ANormalWolf",1016.99669652,603.421002684,0.0599948640771
"cdub",1653.91841819,1003.42900174,0.0600001211674
"SalmonInPyjamas",1401.71491242,486.109031708,0.0599977763595
"kirbstomp",1800.69446133,960.332250942,0.0599979217661
"skooch",1512.09363368,1009.10170242,0.0599985619692
"braz",1600.86264908,1027.93934044,0.0599990512195
"papyrus",2098.49588436,998.026105674,0.0599426741992
"Gemini",2020.0548187,429.959518293,0.0600064174424
"games",1351.53696167,976.384319867,0.0599985275653
"bran",1129.91537188,939.001506685,0.0599962457385
"Doylesmash",1627.35454259,497.556030809,0.05999964244
"a15.1russell",1624.54563032,882.622519642,0.0599982702671
"jkow",1540.57597472,994.948305949,0.0599980825544
"princessduo",1403.03315571,1126.75602844,0.0600020443462
"algeriandi",1826.06263606,981.83935103,0.0599999180205
"jaye",1642.37603375,931.464731772,0.060000238459
"ggi4n",1673.18795113,825.804508237,0.0599969098918
"Basically Falcon",1333.16461701,769.794117357,0.0599957987649
"Cobab",1459.41783717,392.560832648,0.0599967066026
"Sorry",723.435818011,325.092556708,0.0600000996418
"Brizola",1368.29889235,385.609800136,0.0599976868033
"beel",1400.69074923,1104.31814306,0.0599990350908
"Mason Yason",1345.74701007,572.526931898,0.0599963796204
"mr.funpaid",2180.57063211,1019.42922353,0.0600019364153
"scarecrow",1661.60664549,802.422965851,0.0599967616205
"Kleen",1249.52196433,741.358896419,0.0599963034335
"nexic",1890.52075502,801.930601911,0.0599703397359
"Meatbeef",1415.40677334,636.531716735,0.0599957197025
"Cain",1602.60392207,519.023793664,0.0599991954381
"Sushe",1524.4525732,497.097044957,0.0599939626223
"psythrshanondorf",1283.5291613,860.180964736,0.059998336014
"radikll",823.235443442,780.686131332,0.0599946760478
"dankmemerino",1205.70362021,933.63095837,0.0600029001403
"goodhorse",1406.01184801,918.434746318,0.0599982560119
"sammyg",1367.64412788,1092.85933035,0.0599955641044
"Mojo",1731.20792677,689.89784237,0.0599940791281
"b15.1thugz",1729.22234107,869.081337117,0.0599981811509
"PsychoWaffle",1489.13285295,265.959297231,0.0599830623035
"ypsitheflintsider",1271.88681094,1017.15239867,0.0599983009811
"younghotebonyreborn",1312.38098165,962.023869295,0.0599983138651
"Yata!",1134.14464747,554.401476942,0.0600006672148
"maria'sknight",1388.99640329,1040.81053584,0.0599981738717
"a6.2gracen",1492.31048674,884.28774457,0.0599993000005
"goonsquad9.2",1438.87903455,859.511717899,0.0599981011284
"jwoz",1442.1046631,824.787192818,0.0599972963998
"malomordicon",1808.17074602,860.554130356,0.0599970974972
"quang",1730.64138739,796.885924069,0.0599890942
"Slush",1851.50091856,250.279656731,0.0600057165694
"drephen",2759.91572162,873.378936194,0.0600015952748
"Nonner",1348.15962138,587.763205353,0.0599984761127
"Sinon",1846.1840463,343.884055264,0.0600079932582
"skighhamer",1635.77451943,863.51060613,0.0599969091181
"prest0",940.063246787,603.595024466,0.0600007617802
"b16.2sasha",1284.50135866,901.394287455,0.0599983341022
"yung",1382.98624815,1042.39424955,0.0599983524107
"M.A.C.",1405.09532794,352.290209795,0.0599986580805
"moose",2930.9670813,771.516806843,0.0600076298107
"theodore",1102.71775063,1098.18646123,0.0599976113126
"Jutin",1282.60150721,469.998839554,0.0599983623999
"zero-suitwario",1304.40809588,971.529773408,0.0599996676967
"Apples",1544.28279234,376.342544943,0.0599924339516
"Miracle_Fruit",1742.96732633,686.112519406,0.0599917749162
"dylan",1286.44700857,1074.78182907,0.0599977381268
"leflair",1297.51919664,858.44431413,0.0599959805799
"Game",1636.82005393,449.212060636,0.0599963893127
"charlie",1706.26646385,992.245698568,0.0599807683155
"rodohk",1292.27409093,289.72330374,0.059962124561
"bobslob",1282.37603363,830.023747567,0.059997538367
"bakinshake",724.554233615,654.719473842,0.0599939275926
"bloodflood",1388.17678052,802.993812083,0.0599992258928
"808",1328.50360037,437.415184304,0.0600077649343
"rondiesel",955.535521153,866.223116518,0.0599972305897
"thg",1225.69947588,1099.02309576,0.0599950026282
"Phaedrus",1761.45716702,420.663716271,0.0599927889267
"snowman",1464.70472917,1014.00475125,0.0599985498245
"Russell",2198.4675819,212.84710697,0.0599837228651
"m.a.c",1526.19416304,1051.11571441,0.0600012067976
"b11.1cam",1271.92738571,891.594280091,0.0599989865094
"HoneyBaked",2166.74955493,378.649159823,0.059986169692
"Xam",1905.24887795,343.46070712,0.0599938667468
"b7.1ginger",1727.00290645,891.699279214,0.0599997476771
"noodl-d",1383.35807976,1019.30777877,0.059999192031
"ham",1505.09630775,934.782885189,0.0599940474775
"elm",1251.14838889,1142.01075175,0.0599990950946
"Marxoul",1368.35279573,336.06116618,0.0599980709034
"amineabduljabbar",1845.60058448,957.565971898,0.0599993945348
"yoyo",2005.55153031,781.630502777,0.0599467516353
"Pouch",1501.95348806,478.204689609,0.0600001467242
"RaynEX",2059.06348969,220.780893464,0.0600055357035
"capp",1263.68390551,1113.85469159,0.0599986471261
"sheeppancakejake",1341.72829017,875.950971667,0.0599979315417
"Ghostcookies",1119.79789826,514.432907114,0.0600012270503
"acejorb",1689.46879987,837.917353341,0.0599917700038
"Paul",1228.23605254,210.934726482,0.0599975220495
"Wind",1314.11476522,519.070083604,0.0600054908646
"superdragonyoshi16.2",1405.55270427,859.292912215,0.0599973456158
"glitch",1211.29524342,965.837869519,0.0600005883915
"bobby",1295.55867252,1104.01607073,0.0599981383776
"Echo",1472.6277419,463.227638069,0.0600000346071
"aaronmctizzle",1668.22369199,911.672165318,0.0600017221895
"deathforgold",1227.97062157,1096.95039578,0.0599979050854
"2puff",1211.66167552,991.054607079,0.0600029306343
"MagicScrumpy",1782.88655358,431.981626422,0.059998185832
"moonpuncher",1050.0265019,873.9051186,0.0599974908333
"hunt",1560.23826715,869.977799313,0.0599845297156
"dean",1129.51787181,966.459257163,0.0599993138206
"bort",1284.00660009,1102.13213927,0.0599982071115
"webs",1722.54276643,1087.98124524,0.0599965740507
"jayjayjayjayjayjayjayjay",1559.3634043,946.756348673,0.0599991317725
"mr.quang&watch",1788.83986931,1060.26534805,0.0599979500459
"Life",2007.87263645,366.722501314,0.0599985207312
"ice",1293.2602029,1088.70979946,0.0599983277323
"Jeo",1593.33573276,283.510458012,0.0600019472879
"Lidds",1807.52102296,280.669336579,0.0600111184217
"genji",1733.74551401,928.082712419,0.0599948964735
"godslyr",1704.74175785,822.581398444,0.0599982249273
"Datnero",1183.53454533,269.406667191,0.0599967192547
"core",1337.68910502,1021.34460382,0.06
"Tran",2224.66154254,219.40751117,0.0600418632325
"Yoshi Kirishima",1591.73121041,719.525412866,0.0599984084581
"Clutch",1528.57523904,518.130225073,0.0599929490893
"stitchfacesharkington",1537.55501099,867.718110308,0.0599969612074
"tehownage",1662.2839601,785.199442154,0.059999104739
"a9.1rh1thmz",1616.29998147,888.186231613,0.0599991299663
"heartstringslyoyosucks248",1806.89184115,966.59277088,0.0599999464691
"datroophwizard",1514.61307562,860.420506629,0.0599990943435
"Coleslaw",1664.58378165,373.273817399,0.0599816072428
"walrus",1720.42127457,1019.04901029,0.0599552363842
"Nicco Beltramo",1277.73738781,664.48875065,0.0599961079755
"dannyboy",1587.69866841,1050.47968889,0.0599972624454
"maskgrinder",1291.90196943,1003.73736611,0.0599981461146
"wartle",1795.28463807,1027.15683682,0.060001546884
"Static",1661.6497301,691.680342662,0.0599896807901
"thinkingman",1903.68530181,895.232140692,0.0599965002133
"DrewGod420",1582.11777964,670.202721915,0.0600026617642
"juggleguy3.1",1881.48844721,842.313874999,0.0599964724132
"stifthewobblemaster",2155.70024385,918.780190807,0.0599973239871
"Coupkey",1910.89150481,486.022883837,0.0599858284924
"toptierramen",1447.86535191,1045.77787884,0.0599902890295
"cholosteve5.2",1249.82927583,868.610397827,0.0599990964665
"kissy",1737.55900329,999.045289149,0.0599894204137
"b1.2stitchface",1417.63945768,880.841643599,0.0599975106667
"roki9.1",1410.73606513,859.970705387,0.0599999501492
"nintnt",1823.87786287,257.058884639,0.0600036236539
"armada",2920.58665842,801.321266886,0.0600193810066
"Yung",1361.27264212,397.947353286,0.0599987147524
"s7evyn",1329.29611516,1045.2699701,0.0599998055131
"lempo",1322.24196791,1012.87270514,0.0599952572515
"mr.f",2085.05124527,1091.07329985,0.0599996997792
"sovereign",1581.44644615,439.051137256,0.0599985779632
"Krump",1036.76132565,603.529585835,0.060004181364
"Airspade",1185.17699319,600.75344881,0.0600037405377
"DeathforGold",1303.71570963,388.895707735,0.0599981767639
"Tuna",1110.20827166,530.433133626,0.059995576739
"Itches",1148.6921863,637.9817036,0.0599942921031
"wildvoose",1290.77996188,1088.02458105,0.0599981508198
"supermegawalruswizard",1657.68157708,876.728752519,0.0599974913205
"lunoseclk",1427.91489144,852.42054948,0.0600000392776
"uuuu",1296.60022697,1127.96252716,0.0599979506718
"nutsack",1683.67858028,790.584117157,0.0599948683797
"amirmath",1369.96124812,890.442440845,0.0599972474711
"mb-smash",2507.02055043,793.657413721,0.059988405007
"REKT",919.21086228,556.155549435,0.0599958217279
"classywolfman",1628.61434346,933.358872225,0.0600008799447
"YungBitch",1678.89957984,291.242279791,0.0599932382849
"Photonic",1924.36159579,439.572095207,0.0599992848684
"heartstrings",1779.14912502,781.920343933,0.0599172114905
"Lock",1346.61955062,485.149723091,0.0599992323281
"daddy",1185.65088598,1121.07063085,0.0599960999701
"Middleone",1744.15200218,272.154868455,0.0600005836769
"moooooooose",2161.97159407,798.433359872,0.0600064088995
"duel4.2",1439.12487837,859.155507776,0.0599981009746
"jonchar",1420.98164905,518.534082526,0.0599961244132
"Prince F. Abu",2425.92923455,213.006007343,0.0600233959577
"Senahue",1523.03459793,586.136416559,0.0600076887715
"eieio",1356.67191136,943.878682311,0.0599979736768
"lt-sealclubber",1476.96928108,819.320024601,0.0599996316493
"Yoyo",2676.18882074,292.775513504,0.0599881134933
"The Brons Kneecap",1836.28444114,403.602060828,0.0599810489966
"rahu",1383.34753286,802.285124378,0.0599991967276
"treetz",2284.41089499,776.487533881,0.0599905022584
"binhz",1438.13690957,975.701949684,0.0599978050626
"trip",1739.87222607,935.006869924,0.0599968064008
"2by4",1447.81021687,973.28771324,0.059997400479
"sorryguard",1587.7267914,876.541941013,0.0599964901787
"smellslikecobra",1460.28621539,840.367287315,0.0599981939921
